"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"EC.LA.AC1.U.1",94,"EC.LA.AC1.U.1","Los Angeles",0.485415158694122,284614,-4.24321689020596,-5.12532381072392,-4.53332353047075,0.421066589131713,-3.07459738744443,-3.79844750051677,-0.555711601998457
"EC.LA.AC1.U.2",95,"EC.LA.AC1.U.2","Los Angeles",0.433006567455238,36303,-3.78334388676405,-3.87518978274063,-0.202204317956778,1.08535697829795,2.06384020611182,3.70151290135618,0.49173357285456
"EC.LA.AC1.U.3",96,"EC.LA.AC1.U.3","Los Angeles",0.412807943165691,127917,-3.60409236201727,-3.35899002879873,-3.51594772881141,-0.24182418312296,1.81334573852237,-2.54011286750927,1.26857987368567
"EC.LA.AC1.U.4",97,"EC.LA.AC1.U.4","Los Angeles",0.388647993241394,78782,-3.42678822078462,-3.52224174211819,2.64701805121016,-0.717120599134185,-0.232498074775272,4.90573733571354,-1.8611757208623
"EC.LA.VB1.U.1",98,"EC.LA.VB1.U.1","Los Angeles",0.531109807635375,328089,-4.66779091614694,-6.72047817195329,-2.00318330106855,1.8872277058912,-1.91668799242794,-4.64541420272066,-4.88620330969428
"EC.LA.VB1.U.3",99,"EC.LA.VB1.U.3","Los Angeles",0.464062240425321,298920,-4.01581003782594,-4.11433492855388,2.05885235313646,-1.07520245347135,7.99209175094384,-7.21067511828775,1.56937242047503
"EC.LA.VB1.U.4",100,"EC.LA.VB1.U.4","Los Angeles",0.404131299089325,46879,-2.41066549467085,-1.73462111643233,-3.99321881641068,-0.0722572855822312,-1.68244450412431,0.2778996633043,0.615315655396592
"EC.LA.VB1.U.5",101,"EC.LA.VB1.U.5","Los Angeles",0.538415748112192,250081,-4.49646655003282,-5.85086820611187,2.58423224225546,2.54000969793601,4.73779092893192,-2.92437373611996,-0.855919047093245
"EC.LA.SGR.U.2",102,"EC.LA.SGR.U.2","Los Angeles",0.396250044126833,149077,-3.06771604963552,-5.48503114363701,2.36272115862148,-1.87786316677619,-3.6467031182523,0.337184170927314,-1.07424865738927
"EC.LA.SGR.U.3",103,"EC.LA.SGR.U.3","Los Angeles",0.541841561891297,236250,-4.42703755446078,-4.72110680033373,-4.19815859589261,3.3408229233113,-2.48742905662015,-3.16609751565413,-2.62950016064496
"EC.LA.SGR.U.4",104,"EC.LA.SGR.U.4","Los Angeles",0.448850946526052,127166,-3.15233123593131,-0.225551852865292,-2.15386947035497,-1.99947427414769,5.26270880499406,-3.87683911941544,1.5249614341672
"EC.LA.SGR.U.5",105,"EC.LA.SGR.U.5","Los Angeles",0.405156678772342,195460,-3.14914804632848,-1.13684818906489,-0.314923634032657,-1.50743433941246,-1.84615362391606,-0.720126272068331,7.77171939900944
"EC.BA.CP.U.5",106,"EC.BA.CP.U.5","Baltimore",0.401074974681061,145502,-3.36162345957354,4.06928590109671,0.0819695309350103,1.09903900378044,-0.587004523428005,2.15689357585654,6.28283979480608
"EC.BA.ML.U.4",107,"EC.BA.ML.U.4","Baltimore",0.399480587921173,71508,-4.18299150648996,4.50856190282923,0.995133129747362,-0.33801282024515,-1.1648502725791,1.77860156742021,-1.56535928061729
"EC.LA.HOW.U.5",108,"EC.LA.HOW.U.5","Los Angeles",0.366365485819814,182412,-2.46110196066791,-5.16395427728721,4.66937621733675,-4.10212386967827,-6.50259823932111,1.17549531452094,5.08993979501721
