"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"CD.LA.NWH.M.3",88,"CD.LA.NWH.M.3","Los Angeles",0.308028085151332,73079,-0.630894873189708,-3.24031015364398,7.96455469946958,0.156511917428712,1.24334665092145,3.88159121537657,-1.86915916406427,2.94565450276848,-0.0464341988794305,0.0819559754123872
"CD.LA.NWH.M.4",89,"CD.LA.NWH.M.4","Los Angeles",0.434446999582973,701998,-1.70294989113496,-5.95093019646657,-4.06030109771215,-6.55169455992458,1.84063858432335,0.366824215852461,-1.78811971199605,-4.27798280560191,-3.27786587095173,-4.21929691075293
"CD.LA.NWH.M.5",90,"CD.LA.NWH.M.5","Los Angeles",0.406528650987221,111969,0.822940159726053,-2.54680077093528,6.26714721708636,0.744450305187541,-2.33467760852634,3.24797143804965,-2.34142676909343,0.485276336662861,1.12477907839622,-0.788601225284721
"CD.LA.ROS.M.1",91,"CD.LA.ROS.M.1","Los Angeles",0.292205024053383,274388,-3.17152430769979,-7.16017912529605,-5.28319562979896,-5.01466568500632,-2.58802537457724,0.0720955268913092,3.07626525615501,2.26520368666412,-3.53050077660295,-0.396782901997686
"CD.LA.ROS.M.3",92,"CD.LA.ROS.M.3","Los Angeles",0.359799996697172,199249,-3.05069702437718,-7.48295855627395,0.654398749727496,-1.18068086855669,-3.12636595672757,0.44913035256726,1.50186569204457,1.0913031354405,0.0455663091103451,-1.36037886746709
"CD.LA.ROS.M.5",93,"CD.LA.ROS.M.5","Los Angeles",0.385780460044035,514252,-3.70039093684751,-7.57112906330075,-5.23001647970181,-4.83207060408696,-1.63714628430272,-1.06151490108885,1.88917037391974,2.09472912198824,-2.07356722656472,-2.11742300346666
"CD.LA.SEP.M.1",94,"CD.LA.SEP.M.1","Los Angeles",0.331800474353757,160220,-3.79727556100679,-2.47448408042645,5.23190478138463,1.44540528654422,0.840820555352961,1.46559773932955,-1.96028298520501,1.92776186999357,4.10935457464555,3.04136455483939
"CD.LA.SEP.M.2",95,"CD.LA.SEP.M.2","Los Angeles",0.36470709780913,198607,-4.30466782331814,-1.19832310886358,0.108154068306569,-4.51939874788785,-0.698145400813414,-0.114997855512789,0.583656623049165,2.48301027496902,2.35188113582024,-3.38409352117247
"CD.LA.SEP.M.3",96,"CD.LA.SEP.M.3","Los Angeles",0.444011398458833,993826,-5.33160927331933,-0.911024561498185,-0.672482378748303,4.28997078557549,0.0861298342513815,-2.25057787508873,-0.625268326419226,-0.462255282469316,-1.65360693882012,3.51681514578597
"CD.LA.SEP.M.4",97,"CD.LA.SEP.M.4","Los Angeles",0.454045046523411,864698,-5.0734470228383,-0.747223921775695,-1.90259473380997,1.05963783038719,-0.725777700336746,-1.92814873613918,-0.2211876831931,-0.702848332990671,0.986313894980578,-1.97299601027594
"CD.LA.SEP.M.5",98,"CD.LA.SEP.M.5","Los Angeles",0.285532630250391,44012,-2.50267342084149,-1.37243046377029,8.94850143854103,0.0742355970729008,0.528296672272644,0.435066150860071,-1.38577134791674,2.61813040495043,0.407056329001113,0.561181738666531
"CD.LA.VAL.M.2",99,"CD.LA.VAL.M.2","Los Angeles",0.392954825352013,290711,-5.78275028180811,10.7982111433026,-1.38144213309907,1.3374685627129,-1.15365032898309,0.884851754817042,-0.06581582919964,-0.302197249972471,-3.56012330999415,1.25336161471303
"CD.LA.VAL.M.3",100,"CD.LA.VAL.M.3","Los Angeles",0.305650092467894,221200,-5.1728755929061,8.89617908637228,-2.0189185760756,-3.31455320811863,-1.97512842003294,2.11410142055457,-0.658060476767027,2.30556429753239,5.99740216277894,0.189951570578973
"CD.LA.VAL.M.4",101,"CD.LA.VAL.M.4","Los Angeles",0.280943147298907,74877,-4.31564599456077,7.38183310963665,4.86607004889723,2.01140071987434,2.69017117454579,-6.05356649899613,4.14167680077098,0.286105672763209,-2.49406523430831,-1.8500597623628
"CD.LA.VAL.M.5",102,"CD.LA.VAL.M.5","Los Angeles",0.34872499925111,392790,-4.43955504133948,7.5875577405895,-0.939425932329149,-3.10187744647768,-1.21915996906236,0.823019584771829,0.0840981075861697,2.92311629800617,6.59888921974793,-0.521833162819581
"CD.LA.WHI.M.1",103,"CD.LA.WHI.M.1","Los Angeles",0.496237403048434,799676,1.22510956218479,-4.56759101809604,-1.19619959021506,-1.50685971351703,0.251963521138936,0.0360679598537318,-2.87076333190869,3.20018403090053,-0.38311569612687,1.13568583335997
"CD.LA.WHI.M.2",104,"CD.LA.WHI.M.2","Los Angeles",0.330458268982053,137016,1.1670167681289,-3.03033687909466,5.88741690797407,-1.26892368322463,-2.16555975916336,3.04986999589208,0.321310752364039,3.56168117824308,1.37145501243071,-0.349772348680079
"CD.LA.WHI.M.3",105,"CD.LA.WHI.M.3","Los Angeles",0.448003627002774,1110459,1.72761249898836,-3.51297781099657,-1.95166599800844,-3.78247708558206,0.0889826542050355,0.55406064814504,-0.200540911584486,2.50530222110525,-1.77590877296048,2.73582396247834
"CD.LA.ZOO.M.2",106,"CD.LA.ZOO.M.2","Los Angeles",0.369576530101811,800574,1.17450570411793,-3.75940487949146,-5.44142666766053,-7.32086284425199,2.36702489552867,-3.00767412369831,-0.261690607464406,-1.47481714544567,-2.74296128586044,1.83778894957742
"CD.LA.ZOO.M.3",107,"CD.LA.ZOO.M.3","Los Angeles",0.385006799733275,973886,-3.1278230333222,-4.60362289537043,3.72146744867237,-0.52652087533603,-1.84606868208592,5.11679613284473,-7.04185626187124,-12.4278515828964,-0.307504925908011,-10.6058242132053
"CD.LA.ZOO.M.5",108,"CD.LA.ZOO.M.5","Los Angeles",0.309225566502403,117077,-2.61074829921484,-4.65232545595181,7.03644780171391,-1.13612852589274,-0.391974611929704,3.65820928502875,-4.53743968060137,-6.69334596332516,0.356620519986687,-7.13300036269189
"CD.PX.ALA.M.1",109,"CD.PX.ALA.M.1","Phoenix",0.33606152412949,187058,1.65092042478423,-2.81532611016628,7.15927507064794,-1.32140283984358,1.79610010387743,3.71224072774731,0.25624301400811,1.19545383182176,0.263449733582495,0.715990022444715
"CD.PX.ALA.M.2",110,"CD.PX.ALA.M.2","Phoenix",0.276626154548516,201590,0.609997438669241,-5.02045998203446,-2.70717360925767,3.5183041289926,-8.13699597924511,2.86016809576153,9.38301045138986,-0.00224316572459487,-0.629243158029566,-0.539138546774025
"CD.PX.ALA.M.4",111,"CD.PX.ALA.M.4","Phoenix",0.403047965701639,369120,1.90713791090389,-3.99569532665765,1.66493107064738,1.01724491367223,-6.7693062878301,2.59796181141718,3.98884812910572,0.577656983229964,1.83686691571467,-0.418267939013019
"CD.PX.ASH.U.1",112,"CD.PX.ASH.U.1","Phoenix",0.406095427187098,280447,-5.61341515210701,9.16355317697648,-1.11848599412422,-1.03286942199778,-1.52175670358809,1.52406404618118,-1.38692634835103,-0.185378493660391,2.98799360432127,0.315854062024889
"CD.PX.ASH.U.3",113,"CD.PX.ASH.U.3","Phoenix",0.303142775135416,277187,-4.29983008357378,7.34365899238897,-1.15502457372897,-4.67510748303397,-1.21418823932033,2.20160599115364,-1.12557832889789,2.81684689422229,8.67968407188731,-0.355627603547266
"CD.PX.ASH.U.4",114,"CD.PX.ASH.U.4","Phoenix",0.28398439527175,77990,-4.51085866704064,8.92982573728958,3.47548004509205,0.195997479269706,1.17202228215821,-3.03409361944902,2.44221086540841,0.529586745459526,-1.43829727556115,-0.398530996912221
"CD.PX.ASH.U.5",115,"CD.PX.ASH.U.5","Phoenix",0.434645918600096,356965,-5.5776616313773,10.0092946034471,-2.65339408834859,-3.03451236103924,-2.81621529920068,3.8774115453399,-1.89548319835783,0.390448646154454,4.2236200216791,1.84618869721458
"CD.PX.ASU.M.1",116,"CD.PX.ASU.M.1","Phoenix",0.482922505663409,1256917,-5.74064126581734,1.42222999949446,-2.75627837380804,2.95418073310786,-3.10276539852643,2.44377518835356,-5.85685521338853,-5.78807443968255,-2.6681145462561,2.08550076990333
"CD.PX.ASU.M.2",117,"CD.PX.ASU.M.2","Phoenix",0.3879156730395,35926,-4.64343608019762,-3.02228775687034,6.6213988790391,1.53701186005492,0.737039022913751,1.18334331641293,-2.92949711582544,-2.82251042105036,1.16654459809161,-2.98630420703841
"CD.PX.ASU.M.3",118,"CD.PX.ASU.M.3","Phoenix",0.381346122788512,364494,-4.78607948130439,0.446529175003106,1.4263293975284,4.81944605208839,3.0841671506019,-5.2450972462574,4.38720954779324,-1.88167590991959,-0.891188300587049,0.483725127735027
"CD.PX.ASU.M.4",119,"CD.PX.ASU.M.4","Phoenix",0.318003704234926,73089,-3.55279157477765,-2.37681264590734,8.40266135923957,0.780206055144118,0.659201831139172,0.375906211734394,-2.55489880188779,-0.569087747787314,0.435768672843697,-1.85759669947687
"CD.PX.ASU.M.5",120,"CD.PX.ASU.M.5","Phoenix",0.395908144517733,345092,6.18650741364813,1.60501823385585,-2.5918789549121,4.40083183887896,8.22124420106637,10.1940894396205,1.09776647067849,4.8793998604103,-5.90096122245175,-2.93284658854966
"CD.PX.BUF.M.1",121,"CD.PX.BUF.M.1","Phoenix",0.404616124701302,560829,-4.11861466070899,-7.25355024795713,-6.78069704736672,-7.07165134572572,1.67625450215621,-0.781179670147903,0.381560735543678,3.87595283488956,-3.77552041006352,-2.85917993283468
"CD.PX.BUF.M.2",122,"CD.PX.BUF.M.2","Phoenix",0.321501679953646,52363,-3.39058397075868,-5.45000989492794,8.07613416231593,1.403248196038,-0.0283090502352128,1.0478428786522,-3.76138078738836,2.24938993281979,1.25199601084277,2.57451907477497
"CD.PX.BUF.M.3",123,"CD.PX.BUF.M.3","Phoenix",0.451598126906838,642500,-4.6439133507977,-7.70403450175879,-3.37728246799819,1.11226339802967,1.61971270470356,-2.71723276168887,-1.11278014523111,0.712873070831138,0.216180168036774,3.05564477096118
"CD.PX.BUF.M.5",124,"CD.PX.BUF.M.5","Phoenix",0.398928814556299,529616,-3.99936315175683,-6.83285640857035,-5.77315916855454,-5.15282348828831,1.979070483104,-0.559881416465877,-1.41243599395284,-0.821036390038863,-3.55164447868629,-2.37833199857574
"CD.PX.CAM.U.1",125,"CD.PX.CAM.U.1","Phoenix",0.394196914765431,249605,-5.72380857031392,9.97841039756942,0.685276209162508,1.76991306044411,0.206825841449741,-1.9809928495357,1.16701324311816,-0.853662586955277,-3.42644656281695,0.0660347677571494
"CD.PX.CAM.U.3",126,"CD.PX.CAM.U.3","Phoenix",0.371798479665834,221907,-4.30767902100865,-2.06992228687523,6.64206929040311,1.97390280332296,0.760551355563265,-1.0055009042676,-2.05021814676775,-0.0577738800510497,1.30331687193749,-0.959390429370695
"CD.PX.CAM.U.5",127,"CD.PX.CAM.U.5","Phoenix",0.47543245091082,906447,-5.40992871127037,-0.534256563614113,1.85008561452006,4.31549212793351,1.22146332933507,-3.58140083722627,-2.29156596340101,-1.75307665148061,-1.66141618981741,0.222967079360199
"CD.PX.CLA.M.1",128,"CD.PX.CLA.M.1","Phoenix",0.414407580611264,483435,-4.66653702377052,-1.9930036064918,-1.73087801131968,4.0639253245593,0.888001170385118,-1.89078926985298,3.8092849382407,-3.17854062978883,2.89917347074868,-1.81276819917371
"CD.PX.CLA.M.2",129,"CD.PX.CLA.M.2","Phoenix",0.303548976027993,118533,-4.70890398128476,8.23953534588955,3.68860949445331,2.10218653201866,2.46766822977776,-5.79743736922736,3.9583737321025,-0.208365270925359,-2.8378031322613,-1.5248667959459
"CD.PX.CLA.M.3",130,"CD.PX.CLA.M.3","Phoenix",0.378601863118275,609300,-3.94109345393241,-6.72440258568746,-3.97085330377032,-3.38941417397127,0.860861560448354,-2.58726125598274,-0.858754567694915,2.63620065241024,-2.88780990045467,-0.805904775465798
"CD.PX.CLA.M.4",131,"CD.PX.CLA.M.4","Phoenix",0.404500065445499,315638,-5.46833534962851,10.0750800793383,-1.79536810978382,1.41337783115094,-1.17147992728272,0.69956280925066,-1.17028590918952,-0.829791008121887,-3.44951292025311,1.02117189663848
"CD.PX.COY.M.1",132,"CD.PX.COY.M.1","Phoenix",0.279569157141101,60258,-4.56638577010922,7.6132106296403,4.78911298652073,-0.0699937551434383,0.930090948934108,-1.73948624507311,1.49703091210641,1.71784758209529,-0.352697001996259,-0.447376588810166
"CD.PX.COY.M.2",133,"CD.PX.COY.M.2","Phoenix",0.482549210871358,692700,-5.72757794223997,-0.868157698905034,-1.97569440134238,4.3976965957597,3.84412385569721,-3.38243378727727,3.13464189508832,-2.61847428442702,3.52972917318129,0.0620071818182527
"CD.PX.COY.M.4",134,"CD.PX.COY.M.4","Phoenix",0.342198742438319,311994,-3.78901110862998,-7.2535001489996,-2.09156819532986,0.322558869410819,-1.12817251073106,-0.837318360588143,0.910527734267272,1.18480477467066,-0.387673020366452,1.3844073365917
"CD.PX.COY.M.5",135,"CD.PX.COY.M.5","Phoenix",0.446705376673248,810421,-4.12810395325372,-6.82279377338213,0.107654226413548,3.51713201586948,-0.96754089628969,-1.78347274626532,-2.95153855421885,1.28872829242839,-1.16774831727657,4.52166445283294
"CD.PX.DF1.M.2",136,"CD.PX.DF1.M.2","Phoenix",0.413920277262042,549535,-4.73222871382613,-0.0810431324817787,-3.29926273431135,0.139150430122485,0.250254484441095,-3.1415012293046,4.54434521558399,2.03444098876808,-0.365576975198552,-3.51307797059535
"CD.PX.DF1.M.3",137,"CD.PX.DF1.M.3","Phoenix",0.439016617240417,636635,-5.65339310402032,0.419882619679901,-1.08249863877516,3.82062191195207,1.73079302147898,-3.00596658924352,-0.598809129916059,-3.14951690353969,-2.42071432943308,-1.16196216718035
"CD.PX.DF1.M.4",138,"CD.PX.DF1.M.4","Phoenix",0.401435500450037,377445,-5.20852713214641,-1.64270950950373,2.53940607485445,2.99961076410848,-0.0757038120604906,-2.4662126162666,-1.33182346271223,-1.12563999454629,-2.53427355323468,0.987948211757388
"CD.PX.DF1.M.5",139,"CD.PX.DF1.M.5","Phoenix",0.396945084922022,652792,-4.95613252467936,0.586006511555013,2.70515770286011,3.89955086640351,1.90245610439892,-5.38395280926549,1.52142444366432,0.307768398263343,-3.05644519840798,-1.04575159237009
"CD.PX.ENC.M.1",140,"CD.PX.ENC.M.1","Phoenix",0.389329227360605,350399,-5.26821148287098,-0.966498608657582,1.42729838521028,3.59137363160456,2.3147106653326,-4.75857811952893,1.54824404634652,-1.5856008654236,-0.901977583352572,-0.953227384730315
"CD.PX.ENC.M.2",141,"CD.PX.ENC.M.2","Phoenix",0.44240999284477,880003,-5.02211711427615,-0.593141497091565,-3.28736075113553,2.34786242988043,2.54337022461121,-2.1320777468207,3.36291055317262,-2.17869735223141,5.34936013023986,-3.425817732674
